Ai,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,Year,Pref
A1,0.14247130317353138,0.25552825552825553,0.5686813186813187,0.5256124721603564,0.40028585721432147,0.38853381300470746,0.6685781193707219,0.387225712838624,0.05476059013362445,0.9530026109660573,0.3946902654867256,2016,0.477560619293768
A2,0.1836596893990547,0.25552825552825553,0.5128205128205128,0.2962138084632517,0.04830986922032445,0.21424470894408512,0.10127697049757818,0.04181895336262713,0.03538497634772982,0.8981723237597912,0.3823008849557521,2016,0.2819151501571114
A3,0.06212018906144496,0.02702702702702705,0.1336996336996337,0.005196733481811422,0.19146716215250487,0.2591756286118872,0.13443216844802053,0.33945217855529547,0.08795525527170958,0.0,0.0,2016,0.11544693189917365
A4,0.02498311951384199,0.05651105651105653,0.3727106227106227,0.24053452115812918,0.32733509611948836,0.030119790271346012,0.4098414795244386,0.44411591584192295,0.07396480047655778,0.7806788511749347,0.2584070796460176,2016,0.32133801646754345
A5,0.08642808912896689,0.11670761670761672,0.20512820512820512,0.348181143281366,0.06387479454012722,0.08572850089938384,0.028751851407069377,0.2669021121651404,0.007354893638543856,0.38903394255874674,0.10442477876106179,2016,0.17472686177665028
A6,0.14854827819041186,0.1498771498771499,0.45879120879120877,0.14922048997772833,0.13666833416708352,0.23211757051551918,0.07907009327088589,0.20104581605136,0.09592411042315577,0.9242819843342037,0.4442477876106194,2016,0.28794635722116724
A7,0.09858203916272788,0.17199017199017197,0.5778388278388278,0.9138827023014106,0.3766311727292218,0.24114968043170426,0.48039510027620996,0.49123239292020865,0.1229988296797706,0.9530026109660573,0.5681415929203539,2016,0.5107120594502714
A8,0.1971640783254558,0.12653562653562656,0.49175824175824173,0.04677060133630289,0.3411419995712142,0.0,0.10487970857851972,0.6375234418846591,0.1306698362254152,0.9530026109660573,0.2707964601769911,2016,0.3354510525430357
A9,0.29034436191762325,0.4238329238329238,0.7344322344322345,0.2576095025983668,0.47992567712427653,0.32083126028550657,0.2702253712821745,0.6640658152300384,0.07714559879511809,0.9791122715404699,0.4991150442477877,2016,0.48459331185921645
A10,0.137744767049291,0.1375921375921376,0.4184981684981685,0.44840386043058644,0.14417208604302154,0.30517815454093156,0.13505264000640488,0.2043447907683463,0.07541330006420606,0.8929503916449086,0.4106194690265487,2016,0.3234392969239471
A11,0.13841998649561105,0.18427518427518427,0.47802197802197804,0.49072011878247956,0.13613949832058891,0.25190401469631446,0.26579200192146035,0.10741516433274474,0.05243821397612435,0.9268929503916448,0.20530973451327422,2016,0.3240807955453075
A12,0.03916272788656314,0.05282555282555284,0.21428571428571427,0.36748329621380843,0.14331451440005716,0.04565808105935934,0.1695688723429807,0.2769222345420448,0.039570311237743606,0.26370757180156656,0.4371681415929204,2016,0.20611843549374856
A13,0.057393652937204595,0.08353808353808355,0.42032967032967034,0.1633259094283593,0.1288215536339599,0.2807991120976693,0.01579200192146032,0.21676043420530297,0.06357803282235439,0.783289817232376,0.48318584070796455,2016,0.2564644261055714
A14,1.0,1.0,1.0,0.0,1.0,0.22450151173026142,0.8966414475001002,1.0,0.11533906270415625,0.9817232375979111,1.0,2016,0.7711281533447002
A15,0.10330857528696825,0.16461916461916465,0.3965201465201465,1.0,0.05467019223897664,0.18094837154119944,0.21371242144029468,0.014386815052085463,0.04495406528223264,0.8694516971279374,0.35929203539823,2016,0.3481285834952052
A16,0.059419311276164746,0.09582309582309582,0.3305860805860806,0.5835189309576837,0.17224326448938757,0.26725094722339165,0.2831952283735639,0.18746663381380643,0.03290805610231381,0.6031331592689295,0.33274336283185835,2016,0.2976783965212626
A17,0.04253882511816339,0.10073710073710074,0.3791208791208791,0.1789161098737936,0.4541413563924821,0.07723219411381989,0.4557163444217606,0.6381668103979302,0.07576032178888997,0.7467362924281984,0.35575221238938043,2016,0.36800270310344985
A18,0.03713706954760296,0.07985257985257986,0.3021978021978022,0.1766889383815887,0.2894161366397485,0.12315817673848979,0.11166486529762622,0.5663148672881333,0.03693884690441169,0.2584856396866841,0.005309734513274286,2016,0.20768249058896585
A19,0.3760972316002701,0.7137592137592138,0.6694139194139194,0.7126948775055679,0.0,0.21179532320410274,0.009607301549177376,0.02554309884604328,0.0067184529855810506,0.9791122715404699,0.23185840707964592,2016,0.37060401327766984
A20,0.0,0.017199017199017213,0.0,0.10987379361544174,0.012063174444365034,0.1851582532817942,0.0,0.1596512121336564,0.0,0.8511749347258485,0.784070796460177,2016,0.20695303648499264
A21,0.15192437542201215,0.2199017199017199,0.37362637362637363,0.3942093541202673,0.006889158865146863,0.16571625397068393,0.06841199311476724,0.0,0.07743782761590456,0.9556135770234986,0.16106194690265477,2016,0.2535087480795118
A22,0.2302498311951384,0.3108108108108108,0.6254578754578755,0.732739420935412,0.9128993067962554,0.5102376669600828,1.0,0.37170273636948514,1.0,1.0,0.22123893805309736,2016,0.6636608745485942
A23,0.06347062795408508,0.07616707616707617,0.3241758241758242,0.15367483296213807,0.08621453583934825,0.1355964636993379,0.07633801689283858,0.13314990486359218,0.09879020078086913,0.8381201044386423,0.2707964601769911,2016,0.223340768952558
A24,0.03713706954760296,0.05405405405405407,0.09432234432234432,0.37193763919821826,0.36446794825984424,0.27616824218301506,0.4831271766542573,0.4985832204016263,0.04051162522777692,0.4360313315926893,0.37522123893805315,2016,0.3147674382775605
A25,0.0,0.0,0.18864468864468864,0.18782479584261322,0.2811119845637104,0.2196027402502966,0.37026139866298385,0.2966750167686474,0.11123661964311556,0.6631853785900783,0.28849557522123886,2016,0.2685464732789642
A26,0.08575286968264687,0.09705159705159705,0.18681318681318682,0.19376391982182628,0.09526191667262207,0.2806842971411076,0.1681177695048237,0.06415889833408621,0.056935446934477524,0.8903394255874673,0.41769911504424767,2016,0.24743555610853463
A27,0.10871033085752868,0.1511056511056511,0.3708791208791209,0.2516703786191537,0.23741870935467738,0.04477783305905316,0.263620351467115,0.4157392577991322,0.0731400970255883,0.8981723237597912,0.21946902654867242,2016,0.3163430516170231
A28,0.06684672518568532,0.07862407862407864,0.12637362637362637,0.45879732739420936,0.16652612020295865,0.18125454475869726,0.30985549017253117,0.1465511341081133,0.04159062395068078,0.7597911227154046,0.39292035398230096,2016,0.2815462582648672
A29,0.20324105334233628,0.26044226044226043,0.5512820512820513,0.45360059391239793,0.6750946902022441,1.0,0.5919999199391538,0.7969556349499678,0.09522023235001145,0.9556135770234986,0.5699115044247788,2016,0.5949029075199966
A30,0.07900067521944631,0.1117936117936118,0.37454212454212454,0.6525612472160356,0.052426213106553286,0.17581997014811132,0.1859413153997038,0.01987598045254815,0.09193546800867133,0.8642297650130548,0.35929203539823,2016,0.298120806818358
A1,0.13485342019543975,0.24939172749391728,0.5758454106280193,0.46736292428198434,0.39674569282874395,0.35140964995269636,0.6609901434606045,0.3850875136201261,0.05619593023339323,0.9551820728291316,0.38372093023255827,2017,0.46538944834985047
A2,0.16938110749185664,0.2408759124087591,0.5033816425120773,0.26501305483028725,0.04332204388160803,0.23538315988647118,0.10579964491969883,0.03379170517082051,0.03992347103663135,0.8599439775910364,0.39534883720930225,2017,0.270894563314259
A3,0.060586319218241036,0.025547445255474446,0.1285024154589372,0.00652741514360311,0.18408187306729498,0.2594512771996216,0.12424749505132342,0.33246900128270557,0.09148141285565933,0.0,0.0,2017,0.11824567130598242
A4,0.023452768729641697,0.05961070559610705,0.3710144927536232,0.21409921671018275,0.3104991901045502,0.028647114474929052,0.40397526682039875,0.42587203288139797,0.07167408543723347,0.8151260504201681,0.2923588039867111,2017,0.3182355612259393
A5,0.08338762214983712,0.11800486618004867,0.2,0.32180156657963443,0.06308349285819467,0.08113528855250711,0.02108034201987633,0.2850916513799429,0.010234025225256281,0.380952380952381,0.17275747508305656,2017,0.17199260301239871
A6,0.14006514657980457,0.14841849148418493,0.46859903381642515,0.13577023498694515,0.12671182447356796,0.23458845789971622,0.06947533824459728,0.19279202239907312,0.09464139257433496,0.9355742296918766,0.495016611295681,2017,0.2894235395858603
A7,0.08859934853420195,0.16301703163017028,0.5661835748792271,0.8342036553524804,0.4151524075982919,0.2466982024597919,0.5417525457625043,0.528433306208019,0.1317237545729934,0.9467787114845937,0.6544850498338871,2017,0.5116644558114447
A8,0.17133550488599347,0.12043795620437958,0.5014492753623189,0.056135770234986934,0.34374907966426155,0.0,0.10956472052731465,0.6408976180295988,0.14143494679025062,0.9411764705882353,0.16112956810631232,2017,0.32930549475949705
A9,0.2716612377850163,0.413625304136253,0.8222222222222222,0.2356396866840731,0.5103961125018406,0.6908987701040681,0.28772728200314274,0.6736686757789333,0.08490434597756127,0.9663865546218486,0.5863787375415281,2017,0.5314825799792163
A10,0.12442996742671009,0.1265206812652068,0.4048309178743961,0.4086161879895561,0.142144014136357,0.3159129612109745,0.13354284431565416,0.20480531840061791,0.07792940892579364,0.8851540616246498,0.41196013289036537,2017,0.3129851453046034
A11,0.12703583061889248,0.17639902676399027,0.4753623188405797,0.4471279373368146,0.1366809011927551,0.25017975402081366,0.28331938860886063,0.1051818545439499,0.05615140324644827,0.9299719887955182,0.2724252491694353,2017,0.32130570804170117
A12,0.032573289902280145,0.04136253041362531,0.20772946859903382,0.31070496083550914,0.16353997938447948,0.1356291390728477,0.17978491112789013,0.31027681613174624,0.045632979846511185,0.3025210084033613,0.4186046511627907,2017,0.2104197947632822
