Ai,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
A1,0.5673080151562676,0.544699060013455,0.5244691819426514,0.5216419728870617,0.49974077686899476,0.4915011454830397,0.4775606192937679,0.46538944834985047,0.44179910249459914,0.4422097376912053,0.43049465118780533
A2,0.3243681194081405,0.31023207175955747,0.30216805321772844,0.30791463028731997,0.2865510201894165,0.2713670341940522,0.2819151501571114,0.27089456331425893,0.24296444970336614,0.259967509118293,0.2605124036186629
A3,0.1174093223981536,0.10120641761317901,0.10598079750940653,0.1514265430414027,0.12673703693435495,0.13044693417183711,0.11544693189917365,0.11824567130598242,0.12221352162956314,0.12693161542765072,0.12948022585366364
A4,0.32750855651865574,0.3214078220593612,0.3238894185577276,0.34804893830468075,0.33801108944652875,0.34268548379224595,0.32133801646754345,0.3182355612259393,0.3054466881948739,0.31591998264958693,0.31229811099511195
A5,0.22541428052908596,0.19887881568328994,0.17997603013460076,0.18635562431999905,0.1809277426708101,0.16999503506027766,0.17472686177665028,0.17199260301239871,0.1740472747996981,0.16678247281139083,0.16388869418630184
A6,0.2990566172640055,0.2654697641347534,0.3038143398491035,0.3109640417296659,0.29825506233222604,0.2973380954000329,0.28794635722116724,0.2894235395858603,0.27301348344316956,0.2891124626869141,0.28548426414466826
A7,0.47119274738399014,0.4922574427001295,0.5043388158605109,0.5083967649281229,0.5142467415349908,0.5017974303522064,0.5107120594502714,0.5116644558114447,0.48375083703669297,0.4957586096210693,0.47359191782121196
A8,0.30862938634458786,0.3215568607078856,0.3215000972479461,0.32910362091101464,0.33574622646140906,0.35169055657007214,0.3354510525430357,0.32930549475949705,0.3246225693537845,0.3603251805255517,0.37775442152507754
A9,0.4913016492133582,0.4566033209233609,0.46799094951044445,0.5320563957199641,0.559379015564223,0.5605409720036082,0.48459331185921656,0.5314825799792163,0.4872967109675338,0.5066176773150957,0.4864750636431487
A10,0.371910614664112,0.3104162815982187,0.35525418763886174,0.3546849538763945,0.3361614771778745,0.32621461362098086,0.3234392969239471,0.3129851453046034,0.29403086717003224,0.29573369995519155,0.27750943978350706
