Ai,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
A1,4,4,4,5,6,6,6,6,6,6,6
A2,17,17,17,17,18,20,19,21,21,22,18
A3,29,30,30,29,30,30,30,30,30,30,30
A4,15,14,13,12,10,10,13,12,12,12,11
A5,28,28,28,28,28,28,29,29,29,29,29
A6,21,24,16,16,17,16,18,16,17,16,13
A7,6,5,5,6,5,5,4,5,5,5,5
A8,18,13,14,14,13,9,10,10,9,8,7
A9,5,6,6,4,4,4,5,4,4,4,4
A10,9,16,10,11,12,12,12,14,14,14,16
A11,8,8,9,9,11,13,11,11,11,11,15
A12,23,26,26,27,27,27,28,27,27,26,26
A13,22,19,20,22,23,21,22,22,24,25,22
A14,1,1,1,1,1,1,1,1,1,1,1
A15,11,9,12,13,14,14,9,9,8,9,9
A16,12,12,15,15,16,17,17,17,18,18,19
A17,10,10,8,8,7,7,8,7,7,7,8
A18,27,27,27,26,26,26,26,26,28,28,28
A19,7,7,7,7,8,8,7,8,10,10,10
A20,30,29,29,30,29,29,27,28,26,27,27
A21,20,15,18,18,21,24,23,23,22,21,20
A22,2,2,2,2,2,2,2,2,2,2,2
A23,25,25,25,25,25,25,25,25,23,24,25
A24,13,20,19,19,15,15,15,15,15,17,14
A25,26,22,21,20,19,18,21,19,19,20,24
A26,24,23,24,24,24,23,24,24,25,23,21
A27,14,11,11,10,9,11,14,13,13,13,12
A28,16,21,22,21,20,22,20,20,20,19,23
A29,3,3,3,3,3,3,3,3,3,3,3
A30,19,18,23,23,22,19,16,18,16,15,17
